inegi_entidad,entidad,inegi_municipio,municipio,id_delito,delito,carpetas,tasa,fecha
9,Ciudad de México,9016,Miguel Hidalgo,3000,Extorsión,2,0.5238248705863953,2023-08
9,Ciudad de México,9004,Cuajimalpa De Morelos,3000,Extorsión,1,0.5020710229873657,2023-08
9,Ciudad de México,9003,Coyoacan,3000,Extorsión,2,0.3233807384967804,2023-08
9,Ciudad de México,9006,Iztacalco,3000,Extorsión,4,1.0192614793777466,2023-08
9,Ciudad de México,9014,Benito Juarez,4001,Robo con violencia,69,15.624964714050293,2023-08
9,Ciudad de México,9005,Gustavo A. Madero,4001,Robo con violencia,120,10.274491310119629,2023-08
9,Ciudad de México,9011,Tlahuac,4001,Robo con violencia,38,10.501298904418945,2023-08
9,Ciudad de México,9016,Miguel Hidalgo,4001,Robo con violencia,66,17.28622055053711,2023-08
9,Ciudad de México,9017,Venustiano Carranza,4001,Robo con violencia,99,22.949657440185547,2023-08
9,Ciudad de México,9007,Iztapalapa,4001,Robo con violencia,263,14.699430465698242,2023-08
9,Ciudad de México,9009,Milpa Alta,4001,Robo con violencia,4,2.8828206062316895,2023-08
9,Ciudad de México,9008,La Magdalena Contreras,4001,Robo con violencia,17,6.980086326599121,2023-08
9,Ciudad de México,9015,Cuauhtemoc,4001,Robo con violencia,145,26.341127395629883,2023-08
9,Ciudad de México,9003,Coyoacan,4001,Robo con violencia,76,12.288468360900879,2023-08
9,Ciudad de México,9004,Cuajimalpa De Morelos,4001,Robo con violencia,11,5.5227813720703125,2023-08
9,Ciudad de México,9010,Alvaro Obregon,4001,Robo con violencia,106,14.080764770507812,2023-08
9,Ciudad de México,9013,Xochimilco,4001,Robo con violencia,31,7.5179219245910645,2023-08
9,Ciudad de México,9006,Iztacalco,4001,Robo con violencia,52,13.250399589538574,2023-08
9,Ciudad de México,9012,Tlalpan,4001,Robo con violencia,64,9.411750793457031,2023-08
9,Ciudad de México,9002,Azcapotzalco,4001,Robo con violencia,53,13.061232566833496,2023-08
9,Ciudad de México,9006,Iztacalco,4100,Robo de vehículo,22,5.60593843460083,2023-08
9,Ciudad de México,9008,La Magdalena Contreras,4100,Robo de vehículo,8,3.2847464084625244,2023-08
9,Ciudad de México,9014,Benito Juarez,4100,Robo de vehículo,40,9.057950973510742,2023-08
9,Ciudad de México,9004,Cuajimalpa De Morelos,4100,Robo de vehículo,7,3.5144972801208496,2023-08
9,Ciudad de México,9013,Xochimilco,4100,Robo de vehículo,24,5.820326328277588,2023-08
9,Ciudad de México,9015,Cuauhtemoc,4100,Robo de vehículo,35,6.358202934265137,2023-08
9,Ciudad de México,9017,Venustiano Carranza,4100,Robo de vehículo,32,7.4180707931518555,2023-08
9,Ciudad de México,9009,Milpa Alta,4100,Robo de vehículo,2,1.4414103031158447,2023-08
9,Ciudad de México,9007,Iztapalapa,4100,Robo de vehículo,91,5.086114406585693,2023-08
9,Ciudad de México,9005,Gustavo A. Madero,4100,Robo de vehículo,74,6.335936546325684,2023-08
9,Ciudad de México,9011,Tlahuac,4100,Robo de vehículo,24,6.632399082183838,2023-08
9,Ciudad de México,9012,Tlalpan,4100,Robo de vehículo,43,6.323520183563232,2023-08
9,Ciudad de México,9016,Miguel Hidalgo,4100,Robo de vehículo,22,5.762073516845703,2023-08
9,Ciudad de México,9010,Alvaro Obregon,4100,Robo de vehículo,26,3.45377254486084,2023-08
9,Ciudad de México,9002,Azcapotzalco,4100,Robo de vehículo,31,7.639588832855225,2023-08
9,Ciudad de México,9003,Coyoacan,4100,Robo de vehículo,43,6.952686309814453,2023-08
9,Ciudad de México,9011,Tlahuac,4200,Robo a casa habitación,10,2.7634997367858887,2023-08
9,Ciudad de México,9014,Benito Juarez,4200,Robo a casa habitación,13,2.943833827972412,2023-08
9,Ciudad de México,9013,Xochimilco,4200,Robo a casa habitación,19,4.607758522033691,2023-08
9,Ciudad de México,9005,Gustavo A. Madero,4200,Robo a casa habitación,29,2.483002185821533,2023-08
